Type,Bed Room,Bath Room,Floor,city,Area_ft_square,price_million
House,2.0,2.0,1.0,Dagon Myothit (Seikkan),1200.0,298.0
Condo,2.0,2.0,1.0,Thaketa,972.0,260.0
Condo,2.0,2.0,9.0,Mingalartaungnyunt,1064.0,350.0
Condo,4.0,4.0,1.0,Ahlon,2360.0,1600.0
Apartment,2.0,1.0,2.0,Dagon Myothit (North),900.0,220.0
Condo,3.0,3.0,1.0,Okkalappa South,1200.0,880.0
Condo,3.0,4.0,1.0,Mayangone,2380.0,999.0
Apartment,1.0,1.0,4.0,Dagon Myothit (North),750.0,150.0
Condo,3.0,3.0,1.0,Yankin,1750.0,1150.0
Apartment,1.0,1.0,5.0,Thaketa,972.0,130.0
Apartment,1.0,2.0,1.0,Tamwe,625.0,300.0
Apartment,1.0,1.0,2.0,Tamwe,900.0,240.0
Apartment,2.0,1.0,5.0,Okkalappa South,756.0,185.0
Apartment,2.0,1.0,3.0,Thingangkuun,972.0,192.0
Condo,2.0,2.0,1.0,Hlaing,908.0,800.0
Apartment,3.0,2.0,1.0,Sanchaung,1250.0,630.0
Apartment,1.0,1.0,5.0,Mayangone,625.0,133.0
Apartment,1.0,1.0,1.0,Thaketa,625.0,145.0
Apartment,1.0,1.0,3.0,Thaketa,1045.0,165.0
Apartment,1.0,1.0,3.0,Dagon Myothit (North),918.0,120.0
Apartment,1.0,1.0,5.0,Thingangkuun,625.0,118.0
Apartment,3.0,2.0,1.0,Thingangkuun,972.0,360.0
Apartment,2.0,1.0,1.0,Ahlon,900.0,335.0
Apartment,1.0,1.0,1.0,Thingangkuun,625.0,149.0
Apartment,2.0,2.0,3.0,Okkalappa South,972.0,288.0
Condo,3.0,3.0,1.0,Hlaing,1825.0,1100.0
Condo,3.0,3.0,1.0,Tamwe,2160.0,1200.0
Condo,2.0,2.0,1.0,Lanmadaw,929.0,650.0
Apartment,2.0,1.0,4.0,Okkalappa South,972.0,289.0
Apartment,2.0,2.0,5.0,Okkalappa South,972.0,275.0
Apartment,2.0,2.0,1.0,Okkalappa South,972.0,445.0
House,3.0,2.0,1.0,Thaketa,2400.0,1850.0
House,3.0,3.0,3.5,Thingangkuun,4664.0,5500.0
Condo,4.0,3.0,3.0,Hlaing,2205.0,980.0
Condo,1.0,2.0,10.0,Mingalartaungnyunt,1750.0,900.0
House,4.0,4.0,2.5,Dagon Myothit (North),2400.0,3200.0
Apartment,2.0,2.0,3.0,Thingangkuun,972.0,279.0
House,4.0,4.0,2.0,Dagon Myothit (North),6643.0,3500.0
Condo,2.0,2.0,5.0,Okkalappa South,1026.0,436.0
Apartment,2.0,1.0,5.0,Okkalappa South,972.0,235.0
Condo,2.0,2.0,6.0,Thingangkuun,1026.0,533.0
Apartment,3.0,2.0,1.0,Thingangkuun,972.0,455.0
House,2.0,1.0,1.0,Okkalappa North,1200.0,270.0
House,4.0,1.0,1.5,Kyeemyindaing,1250.0,2000.0
Condo,3.0,3.0,1.0,Yankin,1664.0,1550.0
Condo,3.0,3.0,1.0,Thingangkuun,1550.0,600.0
Apartment,2.0,1.0,1.0,Okkalappa South,972.0,280.0
Condo,3.0,2.0,1.0,Yankin,1359.0,679.5
Condo,2.0,2.0,3.0,Okkalappa South,918.0,380.0
Apartment,2.0,2.0,2.0,Thingangkuun,972.0,304.0
Condo,2.0,2.0,2.0,Okkalappa South,1026.0,440.0
Apartment,2.0,1.0,3.0,Okkalappa South,756.0,207.0
Condo,3.0,3.0,4.0,Kyeemyindaing,1400.0,470.0
Apartment,1.0,1.0,5.0,Tamwe,600.0,206.0
Apartment,2.0,1.0,3.0,Thaketa,972.0,128.0
Apartment,1.0,1.0,2.0,Okkalappa South,728.0,140.0
Apartment,2.0,1.0,2.0,Okkalappa South,972.0,209.0
Apartment,2.0,2.0,1.0,Thingangkuun,972.0,379.0
Apartment,2.0,1.0,1.0,Thingangkuun,972.0,150.0
Apartment,2.0,1.0,3.0,Tamwe,1224.0,270.0
Apartment,4.0,1.0,5.0,Tamwe,900.0,235.0
Apartment,2.0,2.0,6.0,Tamwe,1250.0,138.0
Apartment,1.0,1.0,5.0,Lanmadaw,625.0,250.0
Apartment,2.0,1.0,6.0,Pazundaung,990.0,200.0
Apartment,2.0,1.0,5.0,Pazundaung,900.0,270.0
Apartment,2.0,1.0,1.0,Pazundaung,900.0,350.0
Apartment,4.0,3.0,0.5,Yankin,2000.0,290.0
