price,city,type,bed_room,bath_room,floor,ft_square
35955.625,others,House,5,4.0,2,4542.0
5000.0,tamwe,Apartment,2,1.0,2,1600.0
9800.0,hlaing,Condo,3,3.0,1,2300.0
2735.0,okkalappa south,Apartment,2,1.0,1,972.0
1550.0,thingangkuun,Apartment,1,1.0,3,625.0
3500.0,others,Condo,3,2.0,7,1200.0
11800.0,dagon myothit (north),House,3,2.0,2,2400.0
20000.0,others,House,4,1.0,2,1250.0
25000.0,hlaing,House,3,3.0,4,4542.0
2850.0,okkalappa south,Apartment,2,1.0,3,972.0
6900.0,thaketa,House,3,2.0,2,1200.0
1860.0,hlaing,Apartment,1,1.0,1,625.0
2050.0,okkalappa south,Apartment,2,1.0,3,1026.0
2790.0,others,Condo,2,2.0,7,1045.0
3200.0,tamwe,Condo,2,2.0,1,1200.0
9400.0,thingangkuun,Condo,2,2.0,1,1059.0
3150.0,tamwe,Apartment,2,1.0,1,825.0
1585.0,thaketa,Apartment,1,1.0,1,750.0
33000.0,dagon myothit (north),House,4,2.0,2,2400.0
7000.0,thingangkuun,House,3,3.0,2,1325.0
7000.0,dagon myothit (north),House,4,2.0,3,1200.0
2800.0,tamwe,Apartment,3,1.0,4,1375.0
35955.625,mayangone,House,6,6.0,2,4542.0
3780.0,okkalappa south,Condo,2,2.0,1,918.0
1200.0,thingangkuun,Apartment,1,1.0,5,625.0
12000.0,others,Condo,3,2.0,2,1350.0
9000.0,yankin,Condo,3,3.0,1,2100.0
32500.0,okkalappa south,House,5,5.0,2,2400.0
12000.0,okkalappa south,House,8,3.0,4,1200.0
4500.0,hlaing,Apartment,2,3.0,4,1496.0
3500.0,tamwe,Condo,1,1.0,7,750.0
920.0,thingangkuun,Apartment,2,1.0,4,625.0
4800.0,kamaryut,Apartment,3,2.0,2,1500.0
1750.0,sanchaung,Apartment,1,1.0,5,625.0
15700.0,dagon myothit (north),House,5,2.0,2,2400.0
4450.0,okkalappa south,Apartment,3,2.0,1,972.0
10500.0,others,House,1,2.0,2,2850.0
2100.0,thaketa,Apartment,2,1.0,1,1045.0
5500.0,mayangone,Condo,2,2.0,1,1150.0
2900.0,hlaing,Apartment,4,2.0,4,1000.0
8500.0,yankin,Condo,3,3.0,1,1800.0
13500.0,okkalappa south,House,5,4.0,3,1200.0
35955.625,tamwe,House,6,5.0,2,4542.0
35955.625,bahan,House,4,4.0,2,4542.0
9900.0,hlaing,Condo,3,3.0,1,1505.0
3200.0,thingangkuun,Apartment,3,2.0,1,800.0
